Year,Country,Town/village,y,x,Virus
1970,Sierra Leonne,Panguma,8.025108086,-11.75764718,Lassa
1970,Sierra Leonne,Tongo,8.218621981,-11.05707933,Lassa
1974,Nigeria,Onitsha,6.1469769,6.775936016,Lassa
1975,Nigeria,Zonkwa,9.873458613,8.03517117,Lassa
1972,Liberia,Zigida,8.033930793,-9.482991075,Lassa
2011,Ghana,Village near Manso Nkwanta,6.465652253,-1.902848762,Lassa
2011,Ghana,Manso Nkwanta,6.469283278,-1.886539489,Lassa
2016,Benin,Kassoula,9.092292701,2.539596444,Lassa
2016,Togo,Sandori,10.29055223,0.449662105,Lassa
2017,Benin,Tchaourou,8.878076064,2.753311364,Lassa
2017,Burkina Faso,Ouargaye,11.50081736,0.052305154,Lassa
2009,Mali,Soromba,11.42275992,-7.771723196,Lassa
1980,Finland,Pieksämäki,62.30036582,27.14701929,Puumala orthohantavirus
1995,Croatia,Slunj,45.11612865,15.58268335,Dobrava-Belgrade orthohantavirus
2018,Swedan,Sorby,59.25996431,15.22998921,Puumala orthohantavirus
2018,Swedan,Ballingslov,56.21529443,13.84644434,Puumala orthohantavirus
2016,China,Gao'an,28.40683436,115.3435734,Seoul orthohantavirus 
2016,China,Yifeng,28.36744012,114.7488238,Seoul orthohantavirus 
2016,China,Shanggao,28.22530427,114.8896843,Seoul orthohantavirus 
2016,China,Fengxin,28.67539836,115.37887,Seoul orthohantavirus 
2001,Denmark,Fuenen,55.32076083,10.25563784,Saaremaa orthohantavirus
2007,Poland,Lutowiska,49.25278787,22.6857742,Saaremaa orthohantavirus
2006,Poland,Przysietnica,49.73113266,22.06216707,Puumala orthohantavirus
2006,Poland,Bukowsko,49.47907899,22.06156459,Dobrava-Belgrade orthohantavirus
2007,Poland,Odrzechowa,49.54461637,21.97459403,Dobrava-Belgrade orthohantavirus
1994,Canada,Fort St John,56.23839333,-120.8328255,Sin Nombre orthohantavirus
1994,Canada,onoway,53.70909566,-114.1803936,Sin Nombre orthohantavirus
1994,Canada,Vallyview,55.06410042,-117.2839435,Sin Nombre orthohantavirus
1994,Canada,Camrose,53.01147979,-112.8303112,Sin Nombre orthohantavirus
2020,Sri Lanka,Dambulla,7.847442583,80.65087381,Thailand virus-related hantavirus
2020,Sri Lanka,Ududumbara,7.315476387,80.87830064,Thailand virus-related hantavirus
2011,Madagascar,Anjozorobe,-18.40214399,47.8799333,Anjozorobe
